简码：aq	安全
简码：ivjt	唱主角
简码：ivmg	晨钟暮鼓
简码：ivmz	陈芝麻烂谷子
简码：ivnf	吃斋念佛
简码：ivnd	纯真年代
简码：ivq	沉住气
简码：ivqg	重整旗鼓
简码：ivqr	传之其人
简码：ivtr	处之泰然
简码：ivvw	池中之物
简码：ivw	称之为
简码：ivwh	成者王侯
简码：ivwk	成者王侯败者寇
简码：ivyi	出主意
简码：ivyb	嗤之以鼻
简码：ivyg	朝中有人好做官
简码：ivyh	持之以恒
简码：ivyx	穿针引线
简码：ivzx	成竹在胸
简码：iwbk	成王败寇
简码：iwcr	查无此人
简码：iwfj	吃完饭
简码：iwib	称王称霸
简码：iwih	唇亡齿寒
简码：iwj	储物间
简码：iwjh	传为佳话
简码：iwjm	重温旧梦
简码：iwkn	成为可能
简码：iwle	吃完了
简码：iwti	出问题
简码：iwuj	查无实据
简码：iwxl	储物箱
简码：iwxt	臭味相投
简码：ixd	吃香的喝辣的
简码：ixdd	称兄道弟
简码：ixdt	长吁短叹
简码：ixdz	捶胸顿足
简码：ixer	乘虚而入
简码：ixel	乘兴而来
简码：ixfj	吃闲饭
简码：ixfp	丑媳妇总得见公婆
简码：ixhx	程序化
简码：ixhl	吃香喝辣
简码：ixht	船小好调头
简码：ixiy	诚心诚意
简码：ixjl	处心积虑
简码：ixjb	城乡结合部
简码：ixle	出现了
简码：ixqd	春夏秋冬
简码：ixqh	承先启后
简码：ixry	称心如意
简码：ixso	储蓄所
简码：ixsi	垂涎三尺
简码：ixsu	长相厮守
简码：ixuu	畅销书
简码：ixuw	长袖善舞
简码：ixve	初学者
简码：ixvj	喘息之间
简码：ixvf	抽薪止沸
简码：ixvm	城下之盟
简码：ixwx	痴心妄想
简码：ixwd	喘息未定
简码：ixwz	畅行无阻
简码：ixxk	持续性
简码：ixxp	穿小鞋
简码：ixyk	春宵一刻
简码：ixyd	垂涎欲滴
简码：ixyj	垂涎已久
简码：ixzd	趁现在
简码：ixzu	朝鲜族
简码：iyar	春意盎然
简码：iyb	创业板
简码：iybj	迟疑不决
简码：iybk	吃哑巴亏
简码：iybx	出言不逊
简码：iycw	愁云惨雾
简码：iydm	差一点
简码：iydb	穿衣打扮
简码：iydz	绰约多姿
简码：iyfh	茶余饭后
简码：iyih	尝一尝
简码：iyit	彻夜长谈
简码：iyjh	茶余酒后
简码：iyl	差远了
简码：iylu	春意阑珊
简码：iyly	沉鱼落雁
简码：iyle	扯远了
简码：iymb	沉冤莫白
简码：iymw	崇洋媚外
简码：iynm	彻夜难眠
简码：iysu	超音速
简码：iyry	春雨如油
简码：iytz	穿一条裤子
简码：iywv	出言无状
简码：iywm	彻夜未眠
简码：iyyj	抽油烟机
简码：iyzi	常用字
简码：izdl	车载斗量
简码：izdu	迟早的事
简码：izhz	常在河边走
简码：izie	出租车
简码：izjd	传宗接代
简码：izl	创造力
简码：izxk	创造性
简码：izyu	沉醉于
简码：jj	解决
简码：jg	结果
简码：jt	今天
简码：jc	精彩
简码：jd	简单
简码：je	金额
简码：jh	几乎
简码：jf	解放
简码：jv	简直
简码：ja	骄傲
简码：js	计算
简码：jz	节奏
简码：jw	今晚
简码：jo	奇偶
简码：jabx	桀骜不驯
简码：jaqm	举案齐眉
简码：jasw	居安思危
简码：jaub	节哀顺变
简码：jazd	骄傲自大
简码：jazm	骄傲自满
简码：jbbb	骄兵必败
简码：jbbw	津巴布韦
简码：jbde	见不得
简码：jbdg	见不得光
简码：jbfw	加班费
简码：jbfu	绝不放手
简码：jbgx	绝不姑息
简码：jbhh	金碧辉煌
简码：jbiy	久病成医
简码：jbjd	加班加点
简码：jbjv	精兵简政
简码：jbkc	坚不可摧
简码：jbkd	急不可待
简码：jbkn	急不可耐
简码：jbnv	剑拔弩张
简码：jbpi	捷报频传
简码：jbq	记不清
简码：jbqj	精兵强将
简码：jbrf	健步如飞
简码：jbrr	技不如人
简码：jbrx	今不如昔
简码：jbtj	基本条件
简码：jbtu	金榜题名时
简码：jbti	吉布提
简码：jbu	基本上
简码：jbuh	脊背生寒
简码：jbwx	洁白无瑕
简码：jbwz	久病无孝子
简码：jbxf	箭不虚发
简码：jbzu	饥不择食
简码：jbjl	讲不讲理
简码：jcba	局促不安
简码：jccs	急匆匆
简码：jccj	金灿灿
简码：jcey	仅此而已
简码：jcfi	精彩纷呈
简码：jcjc	将错就错
简码：jcjl	精彩绝伦
简码：jcjy	惊才绝艳
简码：jcle	记错了
简码：jclj	就此了结
简码：jcqy	见财起意
简码：jcsf	几次三番
简码：jcwg	家财万贯
简码：jcxh	结草衔环
简码：jcyu	仅次于
简码：jdbf	绝大部分
简码：jdbh	绝对不会
简码：jdby	坚定不移
简码：jdbx	绝对不行
简码：jdcm	绝顶聪明
简码：jddi	娇滴滴
简码：jddu	绝大多数
简码：jddl	叫地地不灵
简码：jdeq	崛地而起
简码：jdf	借贷方
简码：jdfl	江东父老
简码：jdfh	绝代风华
简码：jdfg	假道伐虢
简码：jdhe	机顶盒
简码：jdhx	皆大欢喜
简码：jdhy	夹道欢迎
简码：jdiy	旧地重游
简码：jdie	机动车
简码：jdil	机动车辆
简码：jdiv	集大成者
简码：jdjn	基督教
简码：jdjj	亟待解决
简码：jdjr	绝代佳人
简码：jdle	几点了
简码：jdlt	鸡蛋里挑骨头
简码：jdlh	机动灵活
简码：jdly	既得利益
简码：jdld	加大力度
简码：jdml	简单明了
简码：jdmd	加德满都
简码：jdpt	鸡蛋碰石头
简码：jdq	经得起
简码：jdqc	就地取材
简码：jdug	见多识广
简码：jdur	借刀杀人
简码：jdub	剪刀石头布
简码：jdv	景德镇
简码：jdvf	就地正法
简码：jdvl	家道中落
简码：jdvw	井底之蛙
简码：jdwm	借贷无门
简码：jdwx	近代文学
简码：jdx	决定性
简码：jdxk	精雕细刻
简码：jdxs	精打细算
简码：jdxv	精雕细琢
简码：jdxu	积德行善
简码：jdrx	激动人心
简码：jdyu	就等于
简码：jdys	结党营私
简码：jdyf	教导有方
简码：jdyd	家大业大
简码：jege	今儿个
简码：jeij	剪恶除奸
简码：jejv	久而久之
简码：jejs	吉尔吉斯
简码：jejt	吉尔吉斯斯坦
简码：jels	接二连三
简码：jeri	嫉恶如仇
简码：jeyv	简而言之
简码：jfby	疾风暴雨
简码：jfdd	鸡飞蛋打
简码：jfgt	鸡飞狗跳
简码：jfiv	见缝插针
简码：jfj	解放军
简码：jfjy	见风就是雨
简码：jfjp	劫富济贫
简码：jfjz	见缝就钻
简码：jfle	解放了
简码：jfqm	解放前
简码：jfsu	金风送爽
简码：jfud	见风使舵
简码：jfum	久负盛名
简码：jfvs	几分钟
简码：jfvc	疾风知劲草
简码：jfvq	肌肤之亲
简码：jfvj	酒逢知己
简码：jfvu	酒逢知己千杯少
简码：jfxn	见分晓
简码：jfxb	今非昔比
简码：jfxi	接风洗尘
简码：jfyf	奸夫淫妇
简码：jfyl	金风玉露
简码：jfyu	绝非易事
简码：jfpm	警匪片
简码：jgbg	见怪不怪
简码：jgbh	金箍棒
简码：jgbx	居高不下
简码：jgck	仅供参考
简码：jgeq	揭竿而起
简码：jgfj	借古讽今
简码：jgge	九宫格
简码：jghy	急公好义
简码：jgjk	金刚经
简码：jgjc	鞠躬尽瘁
简码：jgjj	加官晋爵
简码：jgjl	急功近利
简码：jgjs	假公济私
简码：jgle	见鬼了
简码：jglx	居高临下
简码：jgly	建功立业
简码：jglz	举个例子
简码：jgmj	击鼓鸣金
简码：jgne	结果呢
简码：jgq	几个钱
简码：jgql	机关枪
简码：jgqb	静观其变
简码：jgqm	金鼓齐鸣
简码：jgqg	今古奇观
简码：jgrf	几个人
简码：jgrk	举国若狂
简码：jgsi	见光死
简码：jgsg	嫁狗随狗
简码：jgsj	机关算尽
简码：jgsx	酒过三巡
简码：jgtm	金戈铁马
简码：jgu	井冈山
简码：jguj	几个世纪
简码：jgux	举国上下
简码：jguz	将功赎罪
简码：jguh	见鬼说鬼话
简码：jgv	紧箍咒
简码：jgvc	经国之才
简码：jgvn	惊弓之鸟
简码：jgvz	将功折罪
简码：jgvt	几个钟头
简码：jgvs	几个钟
简码：jgvw	居功至伟
简码：jgwf	甲骨文
简码：jgx	金龟婿
简码：jgxm	巾帼须眉
简码：jgxu	几个小时
简码：jgxz	精耕细作
简码：jgxk	结构性
简码：jgyt	几个月
简码：jgyq	降格以求
简码：jgyj	节骨眼
简码：jgzi	几个字
简码：jgza	居功自傲
简码：jher	酒酣耳热
简码：jhes	尽欢而散
简码：jhfl	久旱逢甘霖
简码：jhgf	脚后跟
简码：jhhh	江河湖海
简码：jhie	救护车
简码：jhji	交换机
简码：jhjj	江湖救急
简码：jhjp	饥寒交迫
简码：jhju	见好就收
简码：jhjy	静候佳音
简码：jhlx	酒后乱性
简码：jhma	激活码
简码：jhmm	机会渺茫
简码：jhmk	计划没有变化快
简码：jhqx	饥寒起盗心
简码：jhrx	江河日下
简码：jht	交换台
简码：jhtd	襟怀坦荡
简码：jhty	酒后吐真言
简码：jhui	几乎是
简码：jhuj	九华山
简码：jhuc	惊慌失措
简码：jhuy	镜花水月
简码：jhul	姜还是老的辣
简码：jhvy	机会主义
简码：jhwd	惊魂未定
简码：jhxl	就好像
简码：jhxf	借花献佛
简码：jhxi	旧恨新仇
简码：jhxq	驾鹤西去
简码：jhy	嫁祸于
简码：jhyp	惊鸿一瞥
简码：jhyr	嫁祸于人
简码：jhyu	劫后余生
简码：jhzi	叫花子
简码：jhdx	浸会大学
简码：jibq	纠缠不清
简码：jibx	坚持不懈
简码：jieq	绝尘而去
简码：jiie	计程车
简码：jild	家长里短
简码：jirl	酒池肉林
简码：jitq	金蝉脱壳
简码：jivt	就吃这一套
简码：jjai	计将安出
简码：jjb	精简版
简码：jjbb	结结巴巴
简码：jjbj	敬酒不吃吃罚酒
简码：jjbr	岌岌不可终日
简码：jjbt	节节败退
简码：jjbu	经久不衰
简码：jjbx	经久不息
简码：jjbg	久假不归
简码：jjbl	解决不了
简码：jjch	经济舱
简码：jjcu	荆棘丛生
简码：jjcy	积极参与
简码：jjdd	简简单单
简码：jjdl	金鸡独立
简码：jjex	见机而行
简码：jjf	加减法
简码：jjfa	激将法
简码：jjfu	久经风霜
简码：jjfv	急惊风撞着慢郎中
简码：jjfz	积极分子
简码：jjgu	肩胛骨
简码：jjgl	犄角旮旯
简码：jjgt	解甲归田
简码：jjgy	九九归一
简码：jjhx	几句话
简码：jjhh	家家户户
简码：jjhu	聚精会神
简码：jjih	竞技场
简码：jjii	进进出出
简码：jjjj	斤斤计较
简码：jjji	借酒浇愁
简码：jjjz	戒骄戒躁
简码：jjka	借记卡
简码：jjkk	健健康康
简码：jjkw	岌岌可危
简码：jjky	久经考验
简码：jjle	解决了
简码：jjld	津津乐道
简码：jjmf	解解闷
简码：jjmm	急急忙忙
简码：jjml	简洁明了
简码：jjnm	近几年
简码：jjnv	绞尽脑汁
简码：jjny	经久耐用
简码：jjpu	节节攀升
简码：jjql	竭尽全力
简码：jjri	节假日
简码：jjrc	仅仅如此
简码：jjrf	经纪人
简码：jjrx	久居人下
简码：jjs	晋级赛
简码：jjsd	静极思动
简码：jjsj	嫁鸡随鸡
简码：jjsn	竭尽所能
简码：jjst	荆棘塞途
简码：jjtm	近几天
简码：jjtq	经济特区
简码：jjtx	兼济天下
简码：jjuj	旧金山
简码：jjuu	结结实实
简码：jjud	借鸡生蛋
简码：jjuh	经济实惠
简码：jjuz	狙击手
简码：jjv	紧接着
简码：jjve	佼佼者
简码：jjvu	掎角之势
简码：jjvv	叽叽喳喳
简码：jjvx	眷眷之心
简码：jjvd	积极主动
简码：jjwf	降降温
简码：jjww	叽叽歪歪
简码：jjwm	籍籍无名
简码：jjwt	解决问题
简码：jjxk	积极性
简码：jjxt	经济学
简码：jjxd	借鸡下蛋
简码：jjxu	见机行事
简码：jjxj	经济学家
简码：jjxl	涓涓细流
简码：jjyt	井井有条
简码：jjyj	家家有本难念的经
简码：jjyu	炯炯有神
简码：jjyw	津津有味
简码：jjyy	兢兢业业
简码：jjys	积极因素
简码：jjyx	解决一下
简码：jjzt	荆棘载途
简码：jjui	久经沙场
简码：jjul	节节胜利
简码：jkbd	叫苦不迭
简码：jkbt	绝口不提
简码：jkfd	艰苦奋斗
简码：jkiv	健康成长
简码：jkjn	救苦救难
简码：jklt	叫苦连天
简码：jkng	尽可能
简码：jksk	捷克斯洛伐克
简码：jkvk	健康状况
简码：jkwv	惊恐万状
简码：jkyl	金科玉律
简码：jkyy	金口玉言
简码：jlbu	俱乐部
简码：jlbd	接连不断
简码：jlbs	基里巴斯
简码：jlcj	江郎才尽
简码：jlew	尽力而为
简码：jlgl	叽里呱啦
简码：jlgs	鸡零狗碎
简码：jlgu	精力过剩
简码：jlhr	解铃还须系铃人
简码：jlip	精力充沛
简码：jljs	加拉加斯
简码：jllv	据理力争
简码：jlmg	紧锣密鼓
简码：jlpo	吉隆坡
简码：jlpm	纪录片
简码：jlru	军令如山
简码：jlsj	降落伞
简码：jltx	君临天下
简码：jlum	举例说明
简码：jlvu	嗟来之食
简码：jlwm	价廉物美
简码：jlwu	精力旺盛
简码：jlwy	见利忘义
简码：jlxx	见猎心喜
简码：jlyt	急流勇退
简码：jlzy	鸡烂嘴巴硬
简码：jldx	吉林大学
简码：jmcc	健美操
简码：jmgf	鸡鸣狗吠
简码：jmgd	鸡鸣狗盗
简码：jmhy	旧貌换新颜
简码：jmny	挤眉弄眼
简码：jmqg	精明强干
简码：jmqv	静脉曲张
简码：jmsp	鸡毛蒜皮
简码：jmut	金木水火土
简码：jmwl	假冒伪劣
简码：jmwq	举目无亲
简码：jmyh	救民于水火
简码：jnel	九牛二虎之力
简码：jnfd	酒囊饭袋
简码：jnjy	借你吉言
简码：jnly	经年累月
简码：jnmj	锦囊妙计
简码：jnpb	纪念品
简码：jnxv	解囊相助
简码：jnxz	艰难险阻
简码：jnym	九牛一毛
简码：jnzu	基诺族
简码：jndx	暨南大学
简码：jpgd	鸡皮疙瘩
简码：jphh	就怕货比货
简码：jprw	家破人亡
简码：jprx	家贫如洗
简码：jpwy	就怕万一
简码：jpxl	借坡下驴
简码：jpxu	金盆洗手
简码：jpzu	景颇族
简码：jqbl	鸡犬不留
简码：jqbn	鸡犬不宁
简码：jqbq	坚强不屈
简码：jqbv	将勤补拙
简码：jqdb	夹枪带棒
简码：jqfl	奖勤罚懒
简码：jqgy	究其根源
简码：jqhi	九曲回肠
简码：jqn	几千年
简码：jqpp	激情澎湃
简码：jqqn	静悄悄
简码：jqqx	捐弃前嫌
简码：jqr	机器人
简码：jqsu	激情四射
简码：jqsn	尽其所能
简码：jqut	鸡犬升天
简码：jqx	进取心
简码：jqyk	见钱眼开
简码：jqyu	交浅言深
简码：jqdx	剑桥大学
简码：jqpm	剧情片
简码：jraf	见人矮三分
简码：jrbb	坚韧不拔
简码：jrbt	截然不同
简码：jrev	戛然而止
简码：jrh	尖锐化
简码：jrhi	噤若寒蝉
简码：jris	君辱臣死
简码：jriz	静若处子
简码：jrjj	渐入佳境
简码：jrjv	见仁见智
简码：jrjy	假仁假义
简码：jrkl	节日快乐
简码：jrlx	寄人篱下
简码：jrpy	酒肉朋友
简码：jrpu	坚如磐石
简码：jrql	拒人千里
简码：jrqw	拒人千里之外
简码：jrrc	既然如此
简码：jrry	尽如人意
简码：jrtx	吉人天相
简码：jruo	假如说
简码：jrub	敬如上宾
简码：jrum	敬若神明
简码：jruh	见人说人话
简码：jrvn	急人之难
简码：jrvj	惊人之举
简码：jrwj	金融危机
简码：jrxk	兼容性
简码：jryu	孑然一身
简码：jryw	拒人于千里之外
简码：jryx	井然有序
简码：jryy	佳人有约
简码：jrzx	吉人自有天相
简码：jrzz	矫揉造作
简码：jsbj	见死不救
简码：jsby	己所不欲
简码：jscq	酒色财气
简码：jsdi	集散地
简码：jsfu	救死扶伤
简码：jsgy	集思广益
简码：jsji	计算机
简码：jskb	尖酸刻薄
简码：jsle	急死了
简码：jsqi	计算器
简码：jsug	江苏省
简码：jsvt	酒色之徒
简码：jswj	见所未见
简码：jsyu	九死一生
简码：jspm	惊悚片
简码：jtb	剪贴板
简码：jtdd	惊天动地
简码：jtdu	惊天地泣鬼神
简码：jtfh	借题发挥
简码：jtgr	晶体管
简码：jtgs	集团公司
简码：jtgy	姜太公钓鱼
简码：jthl	惊涛骇浪
简码：jthd	集体活动
简码：jtil	卷土重来
简码：jtje	交头接耳
简码：jtjy	几天几夜
简码：jtly	九天揽月
简码：jtle	焦头烂额
简码：jtli	脚踏两只船
简码：jtln	进退两难
简码：jtlj	景泰蓝
简码：jtnn	九头鸟
简码：jtsb	家徒四壁
简码：jtsk	狡兔三窟
简码：jtsp	狡兔死走狗烹
简码：jtty	叫天天不应
简码：jtud	脚踏实地
简码：jtuj	进退失据
简码：jtvf	家庭主妇
简码：jtwd	经天纬地
简码：jtwg	进退维谷
简码：jtwm	进退无门
简码：jtwx	具体问题具体分析
简码：jtxw	街头巷尾
简码：jtxx	精挑细选
简码：jtxy	街谈巷议
简码：jtyj	鸡同鸭讲
简码：jtyn	金童玉女
简码：jtzy	家庭作业
简码：jtzm	兼听则明
简码：jtzi	简体字
简码：jtdx	交通大学
简码：jtyh	交通银行
简码：juab	济世安邦
简码：juam	济世安民
简码：jubx	兼收并蓄
简码：jubl	接受不了
简码：jubr	今时不同往日
简码：jubg	据实禀告
简码：jubv	精神不振
简码：judq	见识短浅
简码：judj	家书抵万金
简码：judl	绝世独立
简码：judi	江山代有才人出
简码：jufl	精神分裂
简码：jufh	健身房
简码：jugr	举世公认
简码：jugy	娇生惯养
简码：juhf	精神焕发
简码：juhh	借尸还魂
简码：juhs	惊世骇俗
简码：juis	寄生虫
简码：juid	积少成多
简码：juit	聚沙成塔
简码：juiy	积水成渊
简码：juju	今生今世
简码：jult	近水楼台
简码：julu	就事论事
简码：july	近水楼台先得月
简码：junm	几十年
简码：junt	劫数难逃
简码：junq	几十年前
简码：junl	几十年来
简码：junr	几十年如一日
简码：juqw	决胜千里之外
简码：juqb	见识浅薄
简码：jurh	江山如画
简码：juth	锦上添花
简码：jutq	九省通衢
简码：juvl	举手之劳
简码：juvm	举世瞩目
简码：juvy	经世致用
简码：juwk	金石为开
简码：juwm	举世闻名
简码：juwu	举世无双
简码：juxl	及时行乐
简码：juyd	尽收眼底
简码：juyg	江山易改
简码：juyy	骄奢淫逸
简码：juzf	今是昨非
简码：juzh	洁身自好
简码：juzj	经史子集
简码：juyh	建设银行
简码：jvbu	紧追不舍
简码：jvbd	见诸报端
简码：jvbg	精忠报国
简码：jvbj	接踵比肩
简码：jvby	久治不愈
简码：jvbq	坚贞不屈
简码：jvcx	绝知此事要躬行
简码：jvdc	就知道
简码：jvdl	就知道了
简码：jvdw	就知道玩
简码：jvev	接踵而至
简码：jvel	接踵而来
简码：jvfg	鸡爪疯
简码：jvgr	价值观
简码：jvgz	九寨沟
简码：jvgu	金针菇
简码：jviv	见招拆招
简码：jvjk	假正经
简码：jvjz	尽职尽责
简码：jvjl	集中精力
简码：jvke	急诊科
简码：jvl	竞争力
简码：jvli	价值连城
简码：jvlg	加州理工
简码：jvle	记住了
简码：jvme	就这么
简码：jvmw	拒之门外
简码：jvmb	就这么办
简码：jvmt	紧皱眉头
简码：jvnf	积重难返
简码：jvqi	鸠占鹊巢
简码：jvri	截止日
简码：jvrq	举重若轻
简码：jvrn	禁止入内
简码：jvui	简直是
简码：jvuc	举止失措
简码：jvuv	急中生智
简码：jvvi	近朱者赤
简码：jvvx	急转直下
简码：jvwu	建筑物
简码：jvwb	夹着尾巴
简码：jvxm	甲状腺
简码：jvxw	街知巷闻
简码：jvy	就这样
简码：jvyb	就这样吧
简码：jvyl	就这样了
简码：jvyg	教职员工
简码：jvyy	金枝玉叶
简码：jvyz	今朝有酒今朝醉
简码：jvyh	击中要害
简码：jvyu	就职于
简码：jvyj	肩周炎
简码：jvyc	仅止于此
简码：jvzv	句斟字酌
简码：jvdx	加州大学
简码：jwbj	既往不咎
简码：jwcj	金屋藏娇
简码：jwds	居无定所
简码：jwdm	久闻大名
简码：jwfm	泾渭分明
简码：jwgv	矫枉过正
简码：jwhv	居委会
简码：jwiu	教无常师
简码：jwjq	鸡尾酒
简码：jwjy	绝无仅有
简码：jwkl	继往开来
简码：jwle	就为了
简码：jwnm	几万年
简码：jwnr	家无宁日
简码：jwrf	局外人
简码：jwsv	据我所知
简码：jwtr	惊为天人
简码：jwtc	救亡图存
简码：jwth	精卫填海
简码：jwui	家务事
简码：jwuv	节外生枝
简码：jwvg	健忘症
简码：jwvr	局外之人
简码：jwvv	见微知著
简码：jwvy	极为重要
简码：jwvz	九五之尊
简码：jwxx	基围虾
简码：jwzi	金无足赤
简码：jxbl	居心不良
简码：jxby	惊喜不已
简码：jxbm	敬谢不敏
简码：jxbu	酒香不怕巷子深
简码：jxbx	将心比心
简码：jxdn	嫉贤妒能
简码：jxdp	惊心动魄
简码：jxdj	匠心独具
简码：jxhu	锦绣河山
简码：jxhy	交相辉映
简码：jxjy	将信将疑
简码：jxld	接下来
简码：jxlu	敬贤礼士
简码：jxng	积习难改
简码：jxny	鲸吸牛饮
简码：jxpm	教学片
简码：jxpc	居心叵测
简码：jxqq	近乡情怯
简码：jxry	吉祥如意
简码：jxsq	见贤思齐
简码：jxuw	谨小慎微
简码：jxvz	假戏真做
简码：jxwb	吉凶未卜
简码：jxxe	居心险恶
简码：jxy	仅限于
简码：jxyw	九霄云外
简码：jxyy	家学渊源
简码：jxyk	惊喜欲狂
简码：jxyt	交响乐
简码：jxyd	机械运动
简码：jybu	进一步
简码：jyci	近义词
简码：jycb	金银财宝
简码：jycd	精于此道
简码：jycs	假以辞色
简码：jycx	决一雌雄
简码：jydh	解疑答惑
简码：jydb	胶原蛋白
简码：jydm	久仰大名
简码：jyf	九月份
简码：jyfl	奖优罚劣
简码：jyfs	举一反三
简码：jygt	紧要关头
简码：jyhx	家喻户晓
简码：jyhw	寄予厚望
简码：jyij	积忧成疾
简码：jyiq	集腋成裘
简码：jyju	教育局
简码：jyjg	家有家规
简码：jykn	极有可能
简码：jylc	将遇良才
简码：jyli	记忆力
简码：jyly	金玉良言
简码：jymt	金玉满堂
简码：jyqh	机缘巧合
简码：jyqi	急于求成
简码：jyqj	精益求精
简码：jyqw	金玉其外
简码：jyso	交易所
简码：jysh	骄阳似火
简码：jysq	见异思迁
简码：jysv	决一死战
简码：jyti	绝缘体
简码：jytt	晶莹剔透
简码：jyuf	决一胜负
简码：jyuh	解疑释惑
简码：jyur	假以时日
简码：jyux	谨言慎行
简码：jyvt	经验之谈
简码：jywz	激扬文字
简码：jyyu	锦衣玉食
简码：jyyw	见义勇为
简码：jyyx	记忆犹新
简码：jyyr	鸡鸭鱼肉
简码：jyyd	娇艳欲滴
简码：jyz	脚丫子
简码：jyzq	咎由自取
简码：jzac	君子爱财
简码：jzbi	酒糟鼻
简码：jzba	焦躁不安
简码：jzbv	尽在不言中
简码：jzdu	君子动口不动手
简码：jzey	竭泽而渔
简码：jzfb	酒足饭饱
简码：jzhq	君子好逑
简码：jzhs	尖嘴猴腮
简码：jzgj	节奏感
简码：jzgu	架子鼓
简码：jzgq	君子固穷
简码：jzjx	剧作家
简码：jzlj	君子兰
简码：jznf	家贼难防
简码：jzpf	剑走偏锋
简码：jzqv	举足轻重
简码：jzta	金字塔
简码：jzvi	近在咫尺
简码：jzvj	君子之交
简码：jzvp	金字招牌
简码：jzxd	捷足先登
简码：jzxu	箭在弦上
简码：jzyu	就在于
简码：jzyq	近在眼前
简码：jzyy	君子一言
简码：jzyi	君子远庖厨
简码：kn	可能
简码：kt	开头
简码：km	昆明
简码：ki	开车
简码：kb	恐怖
简码：kp	恐怕
简码：kq	况且
简码：kbds	看不懂
简码：kbdc	看不到
简码：kbdx	口不对心
简码：kbgr	看不惯
简码：kbge	刻薄寡恩
简码：kbgd	愧不敢当
简码：kbi	看不出
简码：kbij	溃不成军
简码：kbiu	科班出身
简码：kbil	看不出来
简码：kbjm	看不见
简码：kbju	可不就是
简码：kbkj	看不看
简码：kbkd	看不开
简码：kbkf	肯不肯
简码：kbky	可不可以
简码：kbkn	可不可能
简码：kblx	快步流星
简码：kbmb	看不明白
简码：kbqk	看不清
简码：kbqi	看不起
简码：kbrh	刻不容缓
简码：kbtz	看不透
简码：kbtd	看不太懂
简码：kbui	可不是
简码：kbuy	看不顺眼
简码：kbv	靠不住
简码：kbxk	可比性
简码：kbxq	看不下去
简码：kbyc	可不要
简码：kbyx	口不应心
简码：kbys	空不异色
简码：kbzi	哭鼻子
简码：kbzv	恐怖组织
简码：kbpm	恐怖片
简码：kcif	看菜吃饭
简码：kcle	看错了
简码：kdd	看得懂
简码：kddh	空荡荡
简码：kdg	看得惯
简码：kdhn	哭爹喊娘
简码：kdi	看得出
简码：kdj	肯德基
简码：kdjv	看得见摸得着
简码：kdjm	看得见
简码：kdku	开裆裤
简码：kdl	看到了
简码：kdlk	凯迪拉克
简码：kdq	看得起
简码：kdqc	夸大其词
简码：kdu	看电视
简码：kdv	靠得住
简码：kdvm	快刀斩乱麻
简码：kdvu	克敌制胜
简码：kdxk	可读性
简码：kdy	看电影
简码：kdyk	慨当以慷
简码：kfby	狂风暴雨
简码：kfbq	口福不浅
简码：kfgx	空腹高心
简码：kfil	跨凤乘鸾
简码：kfld	狂蜂浪蝶
简码：kfq	开发区
简码：kfuh	开发商
简码：kfxk	开放性
简码：kfxf	口服心服
简码：kfye	口服液
简码：kfzi	孔夫子
简码：kgbo	克格勃
简码：kggl	客观规律
简码：kgkq	可歌可泣
简码：kgle	看过了
简码：kgmx	刻骨铭心
简码：kgmj	开弓没有回头箭
简码：kgqk	客观情况
简码：kgtj	客观条件
简码：kguu	客观事实
简码：kguz	口干舌燥
简码：kgxk	客观性
简码：kgyy	客观原因
简码：kgys	客观因素
简码：khbd	葵花宝典
简码：khdr	客户端
简码：khdd	宽宏大度
简码：khdl	宽宏大量
简码：khev	口惠而实不至
简码：khha	苦哈哈
简码：khiy	开怀畅饮
简码：khjg	开花结果
简码：khjz	抗洪救灾
简码：khlv	狂轰滥炸
简码：khwb	苦海无边
简码：khzi	葵花籽
简码：khpm	科幻片
简码：kibd	开场白
简码：kibg	开诚布公
简码：kibx	口出不逊
简码：kibq	口齿不清
简码：kiji	空城计
简码：kiky	口出狂言
简码：kild	看出来
简码：kile	看穿了
简码：kill	口齿伶俐
简码：kivj	可乘之机
简码：kixk	开创性
简码：kjbl	看家本领
简码：kjcy	抗拒从严
简码：kjfg	克己奉公
简码：kjfu	快捷方式
简码：kjgl	苦尽甘来
简码：kjif	口角春风
简码：kjj	快捷键
简码：kjl	看见了
简码：kjui	会计师
简码：kjvu	恪尽职守
简码：kjyb	可见一斑
简码：kjyy	开卷有益
简码：kjzu	苛捐杂税
简码：kjdx	科技大学
简码：kkbb	磕磕绊绊
简码：kkaq	苦苦哀求
简码：kkbk	开口闭口
简码：kket	侃侃而谈
简码：kkic	慷慨陈词
简码：kkja	慷慨激昂
简码：kkjy	慷慨就义
简码：kkjn	慷慨解囊
简码：kkkl	可口可乐
简码：kkll	快快乐乐
简码：kkly	苦口良药
简码：kknl	刻苦耐劳
简码：kkpp	磕磕碰碰
简码：kkpx	苦口婆心
简码：kkqq	客客气气
简码：kkqt	夸夸其谈
简码：kkry	空空如也
简码：kktt	哭哭啼啼
简码：kkuh	空口说白话
简码：kkuu	口口声声
简码：kkwp	空口无凭
简码：kkxk	可靠性
简码：kkxi	口口相传
简码：kkxx	开开心心
简码：klbj	苦乐不均
简码：kldy	克罗地亚
简码：kldf	开朗大方
简码：klif	靠脸吃饭
简码：klmg	克里姆林宫
简码：klok	卡拉OK
简码：klqu	伉俪情深
